No,Brand,Company,Country of Origin,Market Size,B2B,B2C,Pricing,Ballpoint,Calligraphy,Gel pen,Marker,Fountain pen,Fineliner,Other,Customer,
41,IOPENNA,VISCONTI,Italy,5,1,1,7,0,0,0,0,1,0,Roller Pen,3,,,,,,,,,,,,,,,,,,
42,LIFE,MONTEGRAPPA,Italy,5,1,1,10,0,0,0,0,1,0,Roller Pen,4,,,,,,,,,,,,,,,,,,
43,REGAL YEAR,MONTEGRAPPA,Italy,5,1,1,10,0,0,0,0,1,0,0,5,,,,,,,,,,,,,,,,,,
44,ODYSSEY CHAPTER 1,MONTEGRAPPA,Italy,5,1,1,10,0,0,0,0,1,0,Roller Pen,5,,,,,,,,,,,,,,,,,,
45,FRANKEISTEIN,MONTEGRAPPA,Italy,5,1,1,10,0,0,0,0,1,0,0,5,,,,,,,,,,,,,,,,,,
46,SCARABEO,MONTEGRAPPA,Italy,5,1,1,10,0,0,0,0,1,0,Roller Pen,5,,,,,,,,,,,,,,,,,,
47,MARCONI,MONTEGRAPPA,Italy,5,1,1,10,0,0,0,0,1,0,Roller Pen,5,,,,,,,,,,,,,,,,,,
48,MAGNIFICA,MONTEGRAPPA,Italy,5,1,1,7,1,0,0,0,1,0,Roller Pen,4,,,,,,,,,,,,,,,,,,
49,GNOMO OBSESSION,MONTEGRAPPA,Italy,5,1,1,7,0,0,0,0,1,0,Roller Pen,4,,,,,,,,,,,,,,,,,,
50,MOMENTO ZERO,LEONARDO OFFICINA ITALIANA,Italy,5,1,1,8,0,0,0,0,1,0,0,4,,,,,,,,,,,,,,,,,,
51,MOMENTO ZERO GRANDE,LEONARDO OFFICINA ITALIANA,Italy,5,1,1,7,0,0,0,0,1,0,0,4,,,,,,,,,,,,,,,,,,
52,MZG MOSAICO,LEONARDO OFFICINA ITALIANA,Italy,5,1,1,7,0,0,0,0,1,0,0,4,,,,,,,,,,,,,,,,,,
53,MOMENTO MAGICO,LEONARDO OFFICINA ITALIANA,Italy,5,1,1,7,0,0,0,0,1,0,0,4,,,,,,,,,,,,,,,,,,
54,PURA,LEONARDO OFFICINA ITALIANA,Italy,5,1,1,7,0,0,0,0,1,0,0,4,,,,,,,,,,,,,,,,,,
55,SUPERNOVA REGULAR,LEONARDO OFFICINA ITALIANA,Italy,5,1,1,6,0,0,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,
56,FURORE,LEONARDO OFFICINA ITALIANA,Italy,5,1,1,6,0,0,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,
57,FURORE GRANDE,LEONARDO OFFICINA ITALIANA,Italy,5,1,1,7,0,0,0,0,1,0,0,4,,,,,,,,,,,,,,,,,,
58,Asprey,Asprey International Limited,UK,1,0,1,9,,,,,1,,,5,,,,,,,,,,,,,,,,,,
59,Beatrix potter,Beatrix potter,UK,1,0,1,2,1,,,,,,,4,,,,,,,,,,,,,,,,,,
60,Mabie Todd Swan,Mabie Todd & Co,UK,1,0,1,6,,,,,1,,,5,,,,,,,,,,,,,,,,,,
61,John Bull,John Bull,UK,1,0,1,6,,,,,1,,,5,,,,,,,,,,,,,,,,,,
62,Berol,Newell Brands,UK,3,1,1,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,
63,Burberry,Burberry,UK,5,1,1,6,1,,,,,,,4,,,,,,,,,,,,,,,,,,
64,Burnham,Burnham,UK,1,0,1,5,,,,,1,,,5,,,,,,,,,,,,,,,,,,
65,Calton (Jewel),Jewel Pen Co.,UK,1,0,1,4,,,,,1,,,5,,,,,,,,,,,,,,,,,,
66,Cameron,MacNiven & Cameron,UK,1,0,1,4,,,,,1,,,5,,,,,,,,,,,,,,,,,,
67,Chatsworth (Boots),Burnham,UK,1,0,1,5,,,,,1,,,5,,,,,,,,,,,,,,,,,,
68,Colibri,Colibri,UK,3,1,1,4,1,,,,,,,2,,,,,,,,,,,,,,,,,,
69,Conway Stewart,Conway Stewart,UK,3,1,1,8,,,,,1,,,4,,,,,,,,,,,,,,,,,,
70,Croxley,Croxley,UK,3,1,1,5,,,,,1,,,2,,,,,,,,,,,,,,,,,,
71,Italix Parsons,MrPen,UK,3,0,1,4,,,,,1,,,4,,,,,,,,,,,,,,,,,,
72,Super Pen,Kendrick & jefferson,UK,1,1,1,6,,,,,1,,,5,,,,,,,,,,,,,,,,,,
73,Kingswood,Kingswood,UK,1,0,1,5,,,,,1,,,5,,,,,,,,,,,,,,,,,,
74,Lincoln,Lincoln,UK,1,0,1,5,,,,,1,,,5,,,,,,,,,,,,,,,,,,
75,tomsstudio,tomsstudio,UK,1,0,1,6,,,,,1,,,2,,,,,,,,,,,,,,,,,,
76,Ixion,Namisu LTD,UK,3,0,1,5,,,,,1,,,3,,,,,,,,,,,,,,,,,,
77,pocket-fox,shibuinorth,UK,2,0,1,6,,,,,1,,,4,,,,,,,,,,,,,,,,,,
78,Traditional,clydepencompany,UK,2,0,1,7,,,,,1,,,4,,,,,,,,,,,,,,,,,,
79,Hexagon,silverburlpens,UK,1,0,1,7,,,,,1,,,5,,,,,,,,,,,,,,,,,,
